date,Chaikin A/D
1999-11-01,-4006500.0
1999-11-02,-10523400.0
1999-11-03,-13412320.0
1999-11-04,-13722352.3695
1999-11-05,-14170851.2686
1999-11-08,-11667435.884
1999-11-09,-14611370.7903
1999-11-10,-11928026.8629
1999-11-11,-7133926.8629
1999-11-12,2734647.5089
1999-11-15,4030831.6577
1999-11-16,2489564.7189
1999-11-17,-3331358.358
1999-11-18,-1289994.7217
1999-11-19,-1133883.6685
1999-11-22,77853.1336
1999-11-23,-1795076.8443
1999-11-24,949185.5999
1999-11-26,-353814.4001
1999-11-29,-2751525.1251
1999-11-30,-9129247.9157
1999-12-01,-3022001.0347
1999-12-02,2001723.9653
1999-12-03,-984746.3049
1999-12-06,-1853078.191
1999-12-07,-9802323.3523
1999-12-08,-13122802.8715
1999-12-09,-10347991.2917
1999-12-10,-10182594.5175
1999-12-13,-9450011.9828
1999-12-14,-14417350.1899
1999-12-15,-11992116.5785
1999-12-16,-10284078.3113
1999-12-17,-10284078.3113
1999-12-20,-12416516.2972
1999-12-21,-5903016.7501
1999-12-22,-525516.7501
1999-12-23,5196183.2499
1999-12-27,6321468.6184
1999-12-28,7892618.2328
1999-12-29,10893618.2328
1999-12-30,9652101.7706
1999-12-31,9652101.7706
2000-01-03,7319444.6277
2000-01-04,-370042.6299
2000-01-05,3096826.9256
2000-01-06,-3130373.0744
2000-01-07,4936126.9256
2000-01-10,6658918.6517
2000-01-11,4941306.8098
2000-01-12,-459218.3073
2000-01-13,1564983.1281
2000-01-14,4044083.1281
2000-01-18,3197757.0411
2000-01-19,9355657.0411
2000-01-20,7001211.2194
2000-01-21,4014567.7411
2000-01-24,-1582264.2977
2000-01-25,8360235.7023
2000-01-26,8305204.1838
2000-01-27,8722228.5508
2000-01-28,-1385772.6932
2000-01-31,8879049.404
2000-02-01,13297471.0889
2000-02-02,11642564.4222
2000-02-03,19332468.2684
2000-02-04,16869526.5954
2000-02-07,19180936.0701
2000-02-08,21484589.4035
2000-02-09,13056049.0989
2000-02-10,11817049.0989
2000-02-11,5276974.9061
2000-02-14,10539857.9137
2000-02-15,20707717.8149
2000-02-16,13541575.3342
2000-02-17,6384645.3491
2000-02-18,19598.2903
2000-02-22,384384.957
2000-02-23,5104677.4563
2000-02-24,-5926662.6072
2000-02-25,-15293001.6847
2000-02-28,-5692959.2414
2000-02-29,2549540.7586
2000-03-01,5079968.564
2000-03-02,7613106.8749
