date,ATR
1999-11-30,1.2583
1999-12-01,1.2429
1999-12-02,1.2124
1999-12-03,1.2814
1999-12-06,1.2678
1999-12-07,1.2658
1999-12-08,1.252
1999-12-09,1.2795
1999-12-10,1.2768
1999-12-13,1.2585
1999-12-14,1.2545
1999-12-15,1.2605
1999-12-16,1.245
1999-12-17,1.2314
1999-12-20,1.2363
1999-12-21,1.2608
1999-12-22,1.2365
1999-12-23,1.2476
1999-12-27,1.2397
1999-12-28,1.21
1999-12-29,1.1971
1999-12-30,1.1809
1999-12-31,1.1615
2000-01-03,1.2423
2000-01-04,1.3643
2000-01-05,1.432
2000-01-06,1.4794
2000-01-07,1.6594
2000-01-10,1.6359
2000-01-11,1.6415
2000-01-12,1.6139
2000-01-13,1.6186
2000-01-14,1.616
2000-01-18,1.5917
2000-01-19,1.5756
2000-01-20,1.5981
2000-01-21,1.5638
2000-01-24,1.69
2000-01-25,1.6987
2000-01-26,1.6723
2000-01-27,1.7186
2000-01-28,1.7825
2000-01-31,1.8417
2000-02-01,1.8498
2000-02-02,1.8168
2000-02-03,1.8292
2000-02-04,1.7972
2000-02-07,1.75
2000-02-08,1.732
2000-02-09,1.7471
2000-02-10,1.7133
2000-02-11,1.7516
2000-02-14,1.7107
2000-02-15,1.7338
2000-02-16,1.7195
2000-02-17,1.704
2000-02-18,1.7537
2000-02-22,1.7553
2000-02-23,1.7618
2000-02-24,1.7987
2000-02-25,1.8228
2000-02-28,1.8577
2000-02-29,1.8184
2000-03-01,1.784
2000-03-02,1.7513
2000-03-03,1.765
2000-03-06,1.759
2000-03-07,1.8278
2000-03-08,1.8257
2000-03-09,1.8852
2000-03-10,1.8693
2000-03-13,1.9277
2000-03-14,1.9563
2000-03-15,1.9973
2000-03-16,2.1207
2000-03-17,2.0962
2000-03-20,2.0729
2000-03-21,2.1364
2000-03-22,2.0982
2000-03-23,2.1305
2000-03-24,2.1523
2000-03-27,2.1073
2000-03-28,2.0781
2000-03-29,2.0642
2000-03-30,2.1136
2000-03-31,2.1313
2000-04-03,2.1062
2000-04-04,2.3704
2000-04-05,2.3533
2000-04-06,2.3212
2000-04-07,2.2574
2000-04-10,2.2335
2000-04-11,2.2253
2000-04-12,2.2731
2000-04-13,2.2987
2000-04-14,2.5259
2000-04-17,2.5925
2000-04-18,2.6121
