date,CCI
1999-11-29,50.618
1999-11-30,19.261
1999-12-01,5.6129
1999-12-02,36.449
1999-12-03,145.1094
1999-12-06,91.6946
1999-12-07,53.8176
1999-12-08,-1.175
1999-12-09,-19.1691
1999-12-10,28.7514
1999-12-13,35.2981
1999-12-14,-39.7624
1999-12-15,-42.1536
1999-12-16,26.6997
1999-12-17,117.7296
1999-12-20,55.2484
1999-12-21,139.4801
1999-12-22,167.0833
1999-12-23,249.6271
1999-12-27,195.8453
1999-12-28,161.1639
1999-12-29,147.2841
1999-12-30,141.7757
1999-12-31,124.0591
2000-01-03,79.7874
2000-01-04,-68.5193
2000-01-05,-109.7436
2000-01-06,-121.2266
2000-01-07,17.2129
2000-01-10,75.562
2000-01-11,31.2994
2000-01-12,-9.1279
2000-01-13,23.7215
2000-01-14,87.4698
2000-01-18,51.1072
2000-01-19,62.3419
2000-01-20,17.32
2000-01-21,-3.9154
2000-01-24,-97.736
2000-01-25,-110.4306
2000-01-26,-99.5684
2000-01-27,-103.4626
2000-01-28,-160.6715
2000-01-31,-119.0676
2000-02-01,-54.8439
2000-02-02,-33.5451
2000-02-03,-14.1469
2000-02-04,1.057
2000-02-07,-17.1949
2000-02-08,44.9048
2000-02-09,-7.5017
2000-02-10,-26.1986
2000-02-11,-87.1222
2000-02-14,-91.8553
2000-02-15,-56.5977
2000-02-16,-67.374
2000-02-17,-85.1521
2000-02-18,-182.0891
2000-02-22,-198.1459
2000-02-23,-129.4936
2000-02-24,-154.5253
2000-02-25,-137.1437
2000-02-28,-107.5177
2000-02-29,-58.8767
2000-03-01,-21.2225
2000-03-02,-14.8571
2000-03-03,55.4551
2000-03-06,36.7331
2000-03-07,-29.4421
2000-03-08,-49.2486
2000-03-09,49.4162
2000-03-10,99.1424
2000-03-13,17.5116
2000-03-14,-3.3525
2000-03-15,45.9466
2000-03-16,239.8411
2000-03-17,255.3601
2000-03-20,187.419
2000-03-21,184.3054
2000-03-22,182.0785
2000-03-23,173.6958
2000-03-24,164.7087
2000-03-27,126.7384
2000-03-28,100.6083
2000-03-29,85.441
2000-03-30,56.9686
2000-03-31,64.2275
2000-04-03,59.179
2000-04-04,27.3473
2000-04-05,36.4905
2000-04-06,50.0016
2000-04-07,62.4069
2000-04-10,60.4869
2000-04-11,25.3148
2000-04-12,-67.712
2000-04-13,-166.4685
2000-04-14,-342.3442
2000-04-17,-241.664
2000-04-18,-121.915
2000-04-19,-92.3138
2000-04-20,-83.895
2000-04-24,-93.5176
2000-04-25,-3.0065
2000-04-26,4.2724
2000-04-27,-22.2741
2000-04-28,-8.255
2000-05-01,18.752
2000-05-02,-19.2241
2000-05-03,-89.1262
2000-05-04,-77.8175
2000-05-05,-46.0227
2000-05-08,-45.26
2000-05-09,-60.5566
2000-05-10,-124.5113
2000-05-11,-70.9905
2000-05-12,-8.5178
2000-05-15,35.3607
2000-05-16,100.5421
2000-05-17,50.3275
2000-05-18,18.2857
2000-05-19,-67.0954
2000-05-22,-121.585
2000-05-23,-129.0318
2000-05-24,-110.288
2000-05-25,-100.7661
2000-05-26,-113.3779
2000-05-30,-6.0138
2000-05-31,47.3001
2000-06-01,93.9074
2000-06-02,177.3327
2000-06-05,134.8797
2000-06-06,102.1094
2000-06-07,99.6748
2000-06-08,84.5526
2000-06-09,73.0638
2000-06-12,42.3746
2000-06-13,62.6518
2000-06-14,88.8181
2000-06-15,81.9059
2000-06-16,62.858
2000-06-19,77.7807
2000-06-20,72.7971
2000-06-21,65.4369
2000-06-22,18.8216
2000-06-23,-35.3117
2000-06-26,-18.8891
2000-06-27,-48.1975
2000-06-28,-45.4068
2000-06-29,-162.7664
2000-06-30,-116.2939
2000-07-03,20.1364
2000-07-05,-83.5344
2000-07-06,-57.8352
2000-07-07,96.5212
2000-07-10,106.8568
2000-07-11,98.289
2000-07-12,145.1433
2000-07-13,151.5181
2000-07-14,170.4315
2000-07-17,160.3552
2000-07-18,98.6868
2000-07-19,57.6196
2000-07-20,88.5796
2000-07-21,28.621
2000-07-24,-10.0046
2000-07-25,-17.8096
2000-07-26,-63.1248
2000-07-27,-87.9178
2000-07-28,-173.581
2000-07-31,-164.5478
2000-08-01,-119.398
2000-08-02,-95.2481
2000-08-03,-87.5116
2000-08-04,-36.2881
2000-08-07,10.7665
2000-08-08,32.0507
2000-08-09,24.5484
2000-08-10,-5.2266
2000-08-11,2.5388
2000-08-14,72.2346
2000-08-15,96.5579
2000-08-16,82.0222
2000-08-17,117.9139
2000-08-18,115.452
2000-08-21,119.6833
2000-08-22,116.3876
2000-08-23,101.1336
2000-08-24,110.1588
2000-08-25,109.0165
2000-08-28,125.5853
2000-08-29,103.1542
2000-08-30,66.6522
2000-08-31,117.4257
2000-09-01,133.2977
2000-09-05,67.9393
2000-09-06,11.7298
2000-09-07,18.8576
2000-09-08,-34.0107
2000-09-11,-55.2964
2000-09-12,-118.6664
2000-09-13,-146.1477
2000-09-14,-103.2202
2000-09-15,-225.4609
2000-09-18,-250.9544
2000-09-19,-180.9865
2000-09-20,-179.5458
2000-09-21,-176.2027
2000-09-22,-130.0195
2000-09-25,-103.7003
2000-09-26,-122.8001
2000-09-27,-111.62
2000-09-28,-63.494
2000-09-29,-65.4271
2000-10-02,-71.052
2000-10-03,-78.089
2000-10-04,-81.7619
2000-10-05,-49.7321
2000-10-06,-128.8496
2000-10-09,-188.5915
2000-10-10,-221.0208
2000-10-11,-253.4236
2000-10-12,-251.5572
2000-10-13,-162.8487
2000-10-16,-102.0689
2000-10-17,-122.453
2000-10-18,-146.0343
2000-10-19,-44.2106
2000-10-20,-12.3899
2000-10-23,-0.7784
2000-10-24,2.99
2000-10-25,-56.1346
2000-10-26,-75.8948
2000-10-27,-16.369
2000-10-30,31.0779
2000-10-31,100.7788
2000-11-01,106.5027
2000-11-02,132.8587
2000-11-03,125.6095
2000-11-06,131.9096
2000-11-07,108.2883
2000-11-08,59.4604
2000-11-09,-3.4159
2000-11-10,-62.8658
2000-11-13,-120.5672
2000-11-14,-32.8435
2000-11-15,-28.3466
2000-11-16,-59.642
2000-11-17,-84.9031
2000-11-20,-128.1133
2000-11-21,-115.4099
2000-11-22,-150.8738
2000-11-24,-109.8598
2000-11-27,-67.1603
2000-11-28,-88.5186
2000-11-29,-89.4212
2000-11-30,-127.5144
2000-12-01,-105.8552
2000-12-04,-87.8842
2000-12-05,11.8989
2000-12-06,9.7403
2000-12-07,-44.0535
2000-12-08,13.4806
2000-12-11,111.2632
2000-12-12,90.4016
2000-12-13,62.9545
2000-12-14,-15.3993
2000-12-15,-132.5132
2000-12-18,-76.6877
2000-12-19,-105.6814
2000-12-20,-230.8702
2000-12-21,-188.3477
2000-12-22,-85.2955
2000-12-26,-43.1223
2000-12-27,-10.6863
2000-12-28,7.5476
2000-12-29,-27.1882
2001-01-02,-96.5258
2001-01-03,-4.8722
2001-01-04,30.8507
2001-01-05,-60.159
2001-01-08,-88.5
2001-01-09,-56.9202
2001-01-10,-27.6081
2001-01-11,26.4003
2001-01-12,41.4096
2001-01-16,56.5565
2001-01-17,99.964
2001-01-18,122.8092
2001-01-19,116.902
2001-01-22,114.3055
2001-01-23,144.9492
2001-01-24,162.7222
2001-01-25,133.0522
2001-01-26,88.6252
2001-01-29,104.7308
2001-01-30,119.0794
2001-01-31,118.6422
2001-02-01,104.3184
2001-02-02,50.9529
2001-02-05,35.5668
2001-02-06,39.6966
2001-02-07,-18.0812
2001-02-08,-64.6542
2001-02-09,-152.5068
2001-02-12,-120.5161
2001-02-13,-124.9842
2001-02-14,-160.5723
2001-02-15,-94.1267
2001-02-16,-175.8584
2001-02-20,-176.3058
2001-02-21,-207.1496
2001-02-22,-203.1132
2001-02-23,-189.9121
2001-02-26,-116.4868
2001-02-27,-101.4018
2001-02-28,-118.6902
2001-03-01,-120.2081
2001-03-02,-103.991
2001-03-05,-84.6195
2001-03-06,-44.6112
2001-03-07,-36.2675
2001-03-08,-26.4165
2001-03-09,-78.3388
2001-03-12,-177.5997
2001-03-13,-167.2583
2001-03-14,-184.1571
2001-03-15,-157.4787
2001-03-16,-176.0382
2001-03-19,-130.4209
2001-03-20,-127.2083
2001-03-21,-145.0357
2001-03-22,-157.5976
2001-03-23,-99.5815
2001-03-26,-62.7971
2001-03-27,-32.3374
2001-03-28,-55.9064
2001-03-29,-65.4203
2001-03-30,-40.3017
2001-04-02,-51.5654
2001-04-03,-119.7607
2001-04-04,-135.0419
2001-04-05,-40.4569
2001-04-06,-65.2318
2001-04-09,-28.6062
2001-04-10,69.9956
2001-04-11,100.0203
2001-04-12,123.5043
2001-04-16,108.9284
2001-04-17,130.0592
2001-04-18,241.0106
2001-04-19,228.4675
2001-04-20,181.5363
2001-04-23,120.4976
2001-04-24,95.107
2001-04-25,91.8283
2001-04-26,104.8748
2001-04-27,108.4959
2001-04-30,107.5358
2001-05-01,96.6499
2001-05-02,96.5645
2001-05-03,66.5875
2001-05-04,76.342
2001-05-07,84.1232
2001-05-08,73.5262
2001-05-09,57.4148
2001-05-10,71.6736
2001-05-11,34.3597
2001-05-14,16.5441
2001-05-15,41.8432
2001-05-16,139.964
2001-05-17,199.9477
2001-05-18,171.655
2001-05-21,223.7525
2001-05-22,210.5488
2001-05-23,116.358
2001-05-24,84.2553
2001-05-25,45.4161
2001-05-29,-1.0145
2001-05-30,-65.7099
2001-05-31,-55.0661
2001-06-01,-45.8351
2001-06-04,-22.7351
2001-06-05,34.1479
2001-06-06,12.2492
2001-06-07,2.7515
2001-06-08,-36.4304
2001-06-11,-78.0414
2001-06-12,-109.0
2001-06-13,-116.2404
2001-06-14,-194.9093
2001-06-15,-190.436
2001-06-18,-164.3652
2001-06-19,-137.2574
2001-06-20,-116.6167
2001-06-21,-64.6644
2001-06-22,-73.7341
2001-06-25,-84.0142
2001-06-26,-95.3184
2001-06-27,-83.8254
2001-06-28,-44.3215
2001-06-29,-31.8293
2001-07-02,-3.9826
2001-07-03,6.5372
2001-07-05,-46.068
2001-07-06,-159.0207
2001-07-09,-155.7077
2001-07-10,-185.7565
2001-07-11,-204.3595
2001-07-12,-59.4886
2001-07-13,3.7726
2001-07-16,-31.4247
2001-07-17,-23.5875
2001-07-18,-37.296
2001-07-19,20.7431
2001-07-20,-3.8784
2001-07-23,-82.5116
2001-07-24,-168.6742
2001-07-25,-110.7322
2001-07-26,-45.7579
2001-07-27,-4.5927
2001-07-30,8.7141
2001-07-31,61.3792
2001-08-01,102.2146
2001-08-02,129.2295
2001-08-03,70.5475
2001-08-06,0.011
2001-08-07,-6.4241
2001-08-08,-109.1774
2001-08-09,-143.9648
2001-08-10,-108.3672
2001-08-13,-67.5867
2001-08-14,-52.5361
2001-08-15,-90.5929
2001-08-16,-108.5788
2001-08-17,-158.0997
2001-08-20,-112.6319
2001-08-21,-139.1138
2001-08-22,-125.5686
2001-08-23,-106.4202
2001-08-24,-41.6205
2001-08-27,-25.1911
2001-08-28,-79.9675
2001-08-29,-131.3833
2001-08-30,-213.1494
2001-08-31,-171.8897
2001-09-04,-140.6733
2001-09-05,-164.3034
2001-09-06,-194.9511
2001-09-07,-208.9367
2001-09-10,-173.0276
2001-09-17,-248.3103
2001-09-18,-192.3106
2001-09-19,-192.8097
2001-09-20,-178.7232
2001-09-21,-173.9387
2001-09-24,-111.8095
2001-09-25,-89.6886
2001-09-26,-77.9989
2001-09-27,-68.3081
2001-09-28,-20.8264
2001-10-01,-34.4896
2001-10-02,-15.1714
2001-10-03,13.5984
2001-10-04,38.3975
2001-10-05,31.7377
2001-10-08,38.0519
2001-10-09,39.513
2001-10-10,78.1811
2001-10-11,129.3827
2001-10-12,109.8587
2001-10-15,98.5723
2001-10-16,105.6844
2001-10-17,78.1246
2001-10-18,44.816
2001-10-19,29.9509
2001-10-22,73.9738
2001-10-23,84.1249
2001-10-24,63.673
2001-10-25,81.3639
2001-10-26,128.0836
2001-10-29,20.9376
2001-10-30,-99.5172
2001-10-31,-98.4307
2001-11-01,-25.3786
2001-11-02,34.2143
2001-11-05,132.6079
2001-11-06,186.9914
2001-11-07,198.6175
2001-11-08,189.0339
