,date,value
0,2025-02-01,269628.0
1,2025-01-01,263291.0
2,2024-12-01,288726.0
3,2024-11-01,267911.0
4,2024-10-01,293959.0
5,2024-09-01,299201.0
6,2024-08-01,289280.0
7,2024-07-01,268942.0
8,2024-06-01,287595.0
9,2024-05-01,284736.0
10,2024-04-01,275566.0
11,2024-03-01,305526.0
12,2024-02-01,268258.0
13,2024-01-01,252522.0
14,2023-12-01,299969.0
15,2023-11-01,286515.0
16,2023-10-01,278895.0
17,2023-09-01,308103.0
18,2023-08-01,290578.0
19,2023-07-01,261612.0
20,2023-06-01,324238.0
21,2023-05-01,288640.0
22,2023-04-01,272375
23,2023-03-01,312535
24,2023-02-01,256827
25,2023-01-01,254810
26,2022-12-01,290149
27,2022-11-01,260444
28,2022-10-01,276884
29,2022-09-01,291058
30,2022-08-01,282058
31,2022-07-01,254244
32,2022-06-01,297467
33,2022-05-01,268450
34,2022-04-01,265210
35,2022-03-01,298698
36,2022-02-01,256201
37,2022-01-01,249090
38,2021-12-01,277162
39,2021-11-01,252835
40,2021-10-01,255674
41,2021-09-01,267847
42,2021-08-01,261167
43,2021-07-01,236768
44,2021-06-01,270551
45,2021-05-01,243078
46,2021-04-01,243549
47,2021-03-01,274247
48,2021-02-01,233531
49,2021-01-01,220753
50,2020-12-01,242930
51,2020-11-01,220655
52,2020-10-01,233663
53,2020-09-01,238016
54,2020-08-01,221265
55,2020-07-01,206285
56,2020-06-01,214072
57,2020-05-01,175703
58,2020-04-01,157561
59,2020-03-01,220693
60,2020-02-01,227138
61,2020-01-01,213007
62,2019-12-01,221440
63,2019-11-01,204977
64,2019-10-01,227950
65,2019-09-01,230879
66,2019-08-01,230146
67,2019-07-01,210957
68,2019-06-01,233532
69,2019-05-01,222308
70,2019-04-01,223136
71,2019-03-01,256782
72,2019-02-01,213183
73,2019-01-01,212040
74,2018-12-01,244033
75,2018-11-01,228715
76,2018-10-01,241698
77,2018-09-01,250482
78,2018-08-01,251047
79,2018-07-01,215563
80,2018-06-01,261303
81,2018-05-01,241381
