,date,value
0,2025-03-01,4.33
1,2025-02-01,4.33
2,2025-01-01,4.33
3,2024-12-01,4.48
4,2024-11-01,4.64
5,2024-10-01,4.83
6,2024-09-01,5.13
7,2024-08-01,5.33
8,2024-07-01,5.33
9,2024-06-01,5.33
10,2024-05-01,5.33
11,2024-04-01,5.33
12,2024-03-01,5.33
13,2024-02-01,5.33
14,2024-01-01,5.33
15,2023-12-01,5.33
16,2023-11-01,5.33
17,2023-10-01,5.33
18,2023-09-01,5.33
19,2023-08-01,5.33
20,2023-07-01,5.12
21,2023-06-01,5.08
22,2023-05-01,5.06
23,2023-04-01,4.83
24,2023-03-01,4.65
25,2023-02-01,4.57
26,2023-01-01,4.33
27,2022-12-01,4.10
28,2022-11-01,3.78
29,2022-10-01,3.08
30,2022-09-01,2.56
31,2022-08-01,2.33
32,2022-07-01,1.68
33,2022-06-01,1.21
34,2022-05-01,0.77
35,2022-04-01,0.33
36,2022-03-01,0.20
37,2022-02-01,0.08
38,2022-01-01,0.08
39,2021-12-01,0.08
40,2021-11-01,0.08
41,2021-10-01,0.08
42,2021-09-01,0.08
43,2021-08-01,0.09
44,2021-07-01,0.10
45,2021-06-01,0.08
46,2021-05-01,0.06
47,2021-04-01,0.07
48,2021-03-01,0.07
49,2021-02-01,0.08
50,2021-01-01,0.09
51,2020-12-01,0.09
52,2020-11-01,0.09
53,2020-10-01,0.09
54,2020-09-01,0.09
55,2020-08-01,0.10
56,2020-07-01,0.09
57,2020-06-01,0.08
58,2020-05-01,0.05
59,2020-04-01,0.05
60,2020-03-01,0.65
61,2020-02-01,1.58
62,2020-01-01,1.55
63,2019-12-01,1.55
64,2019-11-01,1.55
65,2019-10-01,1.83
66,2019-09-01,2.04
67,2019-08-01,2.13
68,2019-07-01,2.40
69,2019-06-01,2.38
70,2019-05-01,2.39
71,2019-04-01,2.42
72,2019-03-01,2.41
73,2019-02-01,2.40
74,2019-01-01,2.40
75,2018-12-01,2.27
76,2018-11-01,2.20
77,2018-10-01,2.19
78,2018-09-01,1.95
79,2018-08-01,1.91
80,2018-07-01,1.91
81,2018-06-01,1.82
82,2018-05-01,1.70
83,2018-04-01,1.69
84,2018-03-01,1.51
85,2018-02-01,1.42
86,2018-01-01,1.41
87,2017-12-01,1.30
88,2017-11-01,1.16
89,2017-10-01,1.15
90,2017-09-01,1.15
91,2017-08-01,1.16
92,2017-07-01,1.15
93,2017-06-01,1.04
94,2017-05-01,0.91
95,2017-04-01,0.90
96,2017-03-01,0.79
97,2017-02-01,0.66
98,2017-01-01,0.65
99,2016-12-01,0.54
100,2016-11-01,0.41
101,2016-10-01,0.40
102,2016-09-01,0.40
103,2016-08-01,0.40
104,2016-07-01,0.39
105,2016-06-01,0.38
106,2016-05-01,0.37
107,2016-04-01,0.37
108,2016-03-01,0.36
109,2016-02-01,0.38
110,2016-01-01,0.34
111,2015-12-01,0.24
112,2015-11-01,0.12
113,2015-10-01,0.12
114,2015-09-01,0.14
115,2015-08-01,0.14
116,2015-07-01,0.13
117,2015-06-01,0.13
118,2015-05-01,0.12
119,2015-04-01,0.12
120,2015-03-01,0.11
121,2015-02-01,0.11
122,2015-01-01,0.11
123,2014-12-01,0.12
