date,MFI
1999-11-30,62.5451
1999-12-01,62.1981
1999-12-02,62.1191
1999-12-03,62.924
1999-12-06,58.9629
1999-12-07,56.0075
1999-12-08,55.9169
1999-12-09,50.8304
1999-12-10,51.0107
1999-12-13,47.9517
1999-12-14,44.7635
1999-12-15,38.7713
1999-12-16,36.8829
1999-12-17,37.0478
1999-12-20,32.9717
1999-12-21,38.583
1999-12-22,43.2596
1999-12-23,47.5853
1999-12-27,48.047
1999-12-28,52.803
1999-12-29,57.5457
1999-12-30,62.5032
1999-12-31,61.3449
2000-01-03,52.8461
2000-01-04,50.5318
2000-01-05,49.9611
2000-01-06,49.2956
2000-01-07,55.581
2000-01-10,55.8833
2000-01-11,50.7974
2000-01-12,50.2613
2000-01-13,55.2912
2000-01-14,55.9686
2000-01-18,51.2521
2000-01-19,55.5943
2000-01-20,50.0343
2000-01-21,45.2899
2000-01-24,39.9188
2000-01-25,35.7235
2000-01-26,32.3562
2000-01-27,28.4302
2000-01-28,24.4499
2000-01-31,27.9077
2000-02-01,33.2198
2000-02-02,37.5981
2000-02-03,43.8795
2000-02-04,47.516
2000-02-07,42.73
2000-02-08,42.3812
2000-02-09,42.1272
2000-02-10,42.2147
2000-02-11,37.5234
2000-02-14,32.3168
2000-02-15,38.4073
2000-02-16,33.8524
2000-02-17,33.5377
2000-02-18,32.9898
2000-02-22,31.5022
2000-02-23,37.9104
2000-02-24,35.5712
2000-02-25,35.7245
2000-02-28,42.3942
2000-02-29,41.5947
2000-03-01,41.064
2000-03-02,41.4637
2000-03-03,42.9285
2000-03-06,38.842
2000-03-07,36.2922
2000-03-08,32.8586
2000-03-09,35.9202
2000-03-10,39.4374
2000-03-13,39.3289
2000-03-14,39.3943
2000-03-15,39.1472
2000-03-16,47.6083
2000-03-17,51.5517
2000-03-20,50.7033
2000-03-21,57.089
2000-03-22,56.5528
2000-03-23,63.0569
2000-03-24,67.813
2000-03-27,63.1503
2000-03-28,59.942
2000-03-29,56.8363
2000-03-30,52.9376
2000-03-31,52.3417
2000-04-03,57.0584
2000-04-04,56.786
2000-04-05,61.4383
2000-04-06,61.6773
2000-04-07,61.4329
2000-04-10,66.0874
2000-04-11,65.6303
2000-04-12,60.7762
2000-04-13,52.2673
2000-04-14,43.4521
2000-04-17,51.3561
2000-04-18,50.7285
2000-04-19,50.2859
2000-04-20,45.6878
2000-04-24,40.1832
2000-04-25,45.5226
2000-04-26,48.673
2000-04-27,46.9232
2000-04-28,50.8036
2000-05-01,50.3549
2000-05-02,46.5049
2000-05-03,48.0639
2000-05-04,47.4207
2000-05-05,47.6814
2000-05-08,45.1791
2000-05-09,41.576
2000-05-10,41.4753
2000-05-11,45.4094
2000-05-12,49.5491
2000-05-15,58.1234
2000-05-16,54.6
2000-05-17,49.7448
2000-05-18,46.4969
2000-05-19,47.0846
2000-05-22,47.7234
2000-05-23,40.5738
2000-05-24,41.6298
2000-05-25,43.7588
2000-05-26,39.0023
2000-05-30,38.0724
2000-05-31,43.2494
2000-06-01,50.8248
2000-06-02,51.9894
2000-06-05,46.6924
2000-06-06,46.7132
2000-06-07,50.4602
2000-06-08,51.9756
2000-06-09,48.2337
2000-06-12,44.5132
2000-06-13,45.446
2000-06-14,44.7202
2000-06-15,44.6922
2000-06-16,44.2333
2000-06-19,48.6317
2000-06-20,50.094
2000-06-21,51.9241
2000-06-22,44.3213
2000-06-23,45.4981
2000-06-26,49.7446
2000-06-27,45.6596
2000-06-28,45.387
2000-06-29,38.4775
2000-06-30,37.5188
2000-07-03,40.9313
2000-07-05,41.791
2000-07-06,42.3546
2000-07-07,46.5536
2000-07-10,49.5244
2000-07-11,54.0412
2000-07-12,53.7886
2000-07-13,53.3286
2000-07-14,59.0879
2000-07-17,64.2602
2000-07-18,59.488
2000-07-19,58.2302
2000-07-20,61.9648
2000-07-21,63.052
2000-07-24,62.5119
2000-07-25,57.5659
2000-07-26,53.3365
2000-07-27,47.3825
2000-07-28,47.4561
2000-07-31,41.5984
2000-08-01,42.8939
2000-08-02,47.5731
2000-08-03,46.9377
2000-08-04,47.226
2000-08-07,47.8427
2000-08-08,47.02
2000-08-09,41.9366
2000-08-10,37.5043
2000-08-11,37.2853
2000-08-14,36.5234
