,date,value
0,2025-03-01,158506
1,2025-02-01,157950
2,2025-01-01,157095
3,2024-12-01,159923
4,2024-11-01,159882
5,2024-10-01,159352
6,2024-09-01,158527
7,2024-08-01,158070
8,2024-07-01,157771
9,2024-06-01,158722
10,2024-05-01,158256
11,2024-04-01,157438
12,2024-03-01,156612
13,2024-02-01,156007
14,2024-01-01,154942
15,2023-12-01,157828
16,2023-11-01,157950
17,2023-10-01,157531
18,2023-09-01,156563
19,2023-08-01,156107
20,2023-07-01,155779
21,2023-06-01,156701
22,2023-05-01,156038
23,2023-04-01,155155
24,2023-03-01,154253
25,2023-02-01,153818
26,2023-01-01,152689
27,2022-12-01,155210
28,2022-11-01,155519
29,2022-10-01,154936
30,2022-09-01,153730
31,2022-08-01,153209
32,2022-07-01,152813
33,2022-06-01,153176
34,2022-05-01,152264
35,2022-04-01,151434
36,2022-03-01,150413
37,2022-02-01,149606
38,2022-01-01,147932
39,2021-12-01,150740
40,2021-11-01,150543
41,2021-10-01,149606
42,2021-09-01,147918
43,2021-08-01,147159
44,2021-07-01,146619
45,2021-06-01,146627
46,2021-05-01,145391
47,2021-04-01,144403
48,2021-03-01,143308
49,2021-02-01,142129
50,2021-01-01,140975
51,2020-12-01,143604
52,2020-11-01,144117
53,2020-10-01,143565
54,2020-09-01,141957
55,2020-08-01,140728
56,2020-07-01,139105
57,2020-06-01,138507
58,2020-05-01,133421
59,2020-04-01,130252
60,2020-03-01,149952
61,2020-02-01,150966
62,2020-01-01,150057
63,2019-12-01,152846
64,2019-11-01,153094
65,2019-10-01,152501
66,2019-09-01,151509
67,2019-08-01,151094
68,2019-07-01,150658
69,2019-06-01,151713
70,2019-05-01,151096
71,2019-04-01,150422
72,2019-03-01,149360
73,2019-02-01,148684
74,2019-01-01,147879
75,2018-12-01,150831
76,2018-11-01,151032
77,2018-10-01,150554
78,2018-09-01,149546
79,2018-08-01,149236
80,2018-07-01,148767
81,2018-06-01,149930
82,2018-05-01,149264
83,2018-04-01,148329
84,2018-03-01,147353
85,2018-02-01,146648
86,2018-01-01,145413
87,2017-12-01,148509
88,2017-11-01,148758
89,2017-10-01,148182
90,2017-09-01,147169
91,2017-08-01,146781
92,2017-07-01,146464
93,2017-06-01,147565
94,2017-05-01,146924
95,2017-04-01,146085
96,2017-03-01,145061
97,2017-02-01,144405
98,2017-01-01,143374
99,2016-12-01,146252
100,2016-11-01,146465
101,2016-10-01,146031
102,2016-09-01,145149
103,2016-08-01,144484
104,2016-07-01,144232
105,2016-06-01,145205
106,2016-05-01,144541
107,2016-04-01,143892
108,2016-03-01,142797
109,2016-02-01,141900
110,2016-01-01,141073
111,2015-12-01,144045
112,2015-11-01,144048
113,2015-10-01,143627
114,2015-09-01,142478
115,2015-08-01,141921
116,2015-07-01,141731
117,2015-06-01,142681
118,2015-05-01,142205
119,2015-04-01,141264
120,2015-03-01,140080
121,2015-02-01,139324
122,2015-01-01,138491
123,2014-12-01,141306
124,2014-11-01,141314
125,2014-10-01,140848
126,2014-09-01,139793
127,2014-08-01,139105
128,2014-07-01,138727
129,2014-06-01,139804
130,2014-05-01,139217
131,2014-04-01,138308
132,2014-03-01,137169
133,2014-02-01,136212
134,2014-01-01,135471
135,2013-12-01,138275
136,2013-11-01,138525
137,2013-10-01,138002
138,2013-09-01,137077
139,2013-08-01,136471
140,2013-07-01,136034
141,2013-06-01,137208
142,2013-05-01,136797
143,2013-04-01,135906
144,2013-03-01,134901
145,2013-02-01,134102
146,2013-01-01,133062
147,2012-12-01,135945
148,2012-11-01,136022
149,2012-10-01,135633
150,2012-09-01,134783
151,2012-08-01,134155
152,2012-07-01,133778
153,2012-06-01,134987
154,2012-05-01,134648
155,2012-04-01,133836
156,2012-03-01,132953
157,2012-02-01,132050
158,2012-01-01,131095
159,2011-12-01,133702
160,2011-11-01,133876
161,2011-10-01,133540
162,2011-09-01,132618
163,2011-08-01,131871
164,2011-07-01,131599
165,2011-06-01,132869
166,2011-05-01,132381
167,2011-04-01,131698
168,2011-03-01,130482
169,2011-02-01,129575
170,2011-01-01,128760
171,2010-12-01,131622
172,2010-11-01,131931
173,2010-10-01,131623
174,2010-09-01,130650
175,2010-08-01,130158
176,2010-07-01,130095
177,2010-06-01,131430
178,2010-05-01,131311
179,2010-04-01,130195
180,2010-03-01,129073
181,2010-02-01,128241
182,2010-01-01,127804
183,2009-12-01,130671
184,2009-11-01,131220
185,2009-10-01,131171
186,2009-09-01,130571
187,2009-08-01,130216
188,2009-07-01,130337
189,2009-06-01,131933
190,2009-05-01,132114
191,2009-04-01,131842
192,2009-03-01,131659
193,2009-02-01,131791
194,2009-01-01,132022
195,2008-12-01,135713
196,2008-11-01,136745
197,2008-10-01,137424
198,2008-09-01,137129
199,2008-08-01,137076
200,2008-07-01,137183
201,2008-06-01,138664
202,2008-05-01,138469
203,2008-04-01,137894
204,2008-03-01,137362
205,2008-02-01,136770
206,2008-01-01,136251
207,2007-12-01,139279
208,2007-11-01,139492
209,2007-10-01,139180
210,2007-09-01,138435
211,2007-08-01,137871
212,2007-07-01,137760
213,2007-06-01,139156
214,2007-05-01,138656
215,2007-04-01,137712
216,2007-03-01,136907
217,2007-02-01,136008
218,2007-01-01,135316
219,2006-12-01,138107
220,2006-11-01,138217
221,2006-10-01,137831
222,2006-09-01,137130
223,2006-08-01,136462
224,2006-07-01,136256
225,2006-06-01,137431
226,2006-05-01,136928
227,2006-04-01,136125
228,2006-03-01,135209
229,2006-02-01,134229
230,2006-01-01,133302
231,2005-12-01,135954
232,2005-11-01,136158
233,2005-10-01,135600
234,2005-09-01,134869
235,2005-08-01,134244
236,2005-07-01,133994
237,2005-06-01,135053
238,2005-05-01,134382
239,2005-04-01,133570
240,2005-03-01,132358
241,2005-02-01,131517
242,2005-01-01,130694
243,2004-12-01,133398
244,2004-11-01,133631
245,2004-10-01,133380
246,2004-09-01,132398
247,2004-08-01,131684
248,2004-07-01,131665
249,2004-06-01,132824
250,2004-05-01,132381
251,2004-04-01,131478
252,2004-03-01,130363
253,2004-02-01,129320
254,2004-01-01,128709
255,2003-12-01,131367
256,2003-11-01,131548
257,2003-10-01,131383
258,2003-09-01,130589
259,2003-08-01,129936
260,2003-07-01,129885
261,2003-06-01,131222
262,2003-05-01,130892
263,2003-04-01,130132
264,2003-03-01,129474
265,2003-02-01,128978
266,2003-01-01,128561
267,2002-12-01,131241
268,2002-11-01,131651
269,2002-10-01,131531
270,2002-09-01,130859
271,2002-08-01,130341
272,2002-07-01,130255
273,2002-06-01,131694
274,2002-05-01,131314
275,2002-04-01,130543
276,2002-03-01,129955
277,2002-02-01,129347
278,2002-01-01,128877
279,2001-12-01,131758
280,2001-11-01,132141
281,2001-10-01,132328
282,2001-09-01,132126
283,2001-08-01,131859
284,2001-07-01,131930
285,2001-06-01,133421
