date,OBV
1999-11-01,4006500.0
1999-11-02,-2510400.0
1999-11-03,4711900.0
1999-11-04,12619400.0
1999-11-05,20050900.0
1999-11-08,24700100.0
1999-11-09,20166400.0
1999-11-10,26572000.0
1999-11-11,31366100.0
1999-11-12,43169000.0
1999-11-15,45356500.0
1999-11-16,52901300.0
1999-11-17,62360300.0
1999-11-18,66851300.0
1999-11-19,62019200.0
1999-11-22,57863800.0
1999-11-23,51945800.0
1999-11-24,56405500.0
1999-11-26,54711600.0
1999-11-29,47363000.0
1999-11-30,39681000.0
1999-12-01,46661200.0
1999-12-02,53359500.0
1999-12-03,63404900.0
1999-12-06,60266000.0
1999-12-07,49551800.0
1999-12-08,44940400.0
1999-12-09,51415100.0
1999-12-10,56542400.0
1999-12-13,60753200.0
1999-12-14,55014200.0
1999-12-15,61893300.0
1999-12-16,67748200.0
1999-12-17,72523600.0
1999-12-20,67914900.0
1999-12-21,75896200.0
1999-12-22,81273700.0
1999-12-23,86995400.0
1999-12-27,84304400.0
1999-12-28,80219900.0
1999-12-29,83220900.0
1999-12-30,79579600.0
1999-12-31,82752300.0
2000-01-03,74588000.0
2000-01-04,66498200.0
2000-01-05,78676100.0
2000-01-06,72448900.0
2000-01-07,80515400.0
2000-01-10,86257100.0
2000-01-11,78753400.0
2000-01-12,71845700.0
2000-01-13,77004000.0
2000-01-14,84441300.0
2000-01-18,77952800.0
2000-01-19,84110700.0
2000-01-20,78310600.0
2000-01-21,72065800.0
2000-01-24,64168900.0
2000-01-25,74111400.0
2000-01-26,68953300.0
2000-01-27,58030600.0
2000-01-28,46114400.0
2000-01-31,56883100.0
2000-02-01,65303000.0
2000-02-02,71508900.0
2000-02-03,79506400.0
2000-02-04,74581000.0
2000-02-07,68735200.0
2000-02-08,73671600.0
2000-02-09,65160100.0
2000-02-10,71850700.0
2000-02-11,62000900.0
2000-02-14,70529700.0
2000-02-15,81608000.0
2000-02-16,72762600.0
2000-02-17,65178400.0
2000-02-18,55769200.0
2000-02-22,39353800.0
2000-02-23,51472800.0
2000-02-24,34097800.0
2000-02-25,23537900.0
2000-02-28,36935700.0
2000-02-29,45178200.0
2000-03-01,52046200.0
2000-03-02,59646400.0
2000-03-03,72416700.0
2000-03-06,60449600.0
2000-03-07,40387600.0
2000-03-08,28579100.0
2000-03-09,34080000.0
2000-03-10,26155400.0
2000-03-13,15614900.0
2000-03-14,7351000.0
2000-03-15,17651800.0
2000-03-16,43253200.0
2000-03-17,53526100.0
2000-03-20,41023800.0
2000-03-21,54636400.0
2000-03-22,62896400.0
2000-03-23,74550900.0
2000-03-24,86013800.0
2000-03-27,77215200.0
2000-03-28,70880800.0
2000-03-29,77628300.0
2000-03-30,68136400.0
2000-03-31,77385500.0
2000-04-03,85893700.0
2000-04-04,66308200.0
2000-04-05,57921000.0
2000-04-06,64299500.0
2000-04-07,70323100.0
2000-04-10,60698900.0
2000-04-11,51692500.0
2000-04-12,40913300.0
2000-04-13,28687500.0
2000-04-14,-916500.0
2000-04-17,23001700.0
2000-04-18,34070900.0
2000-04-19,27517200.0
2000-04-20,36054800.0
2000-04-24,23161700.0
2000-04-25,37263700.0
2000-04-26,29552600.0
2000-04-27,13957300.0
2000-04-28,5213900.0
2000-05-01,12542200.0
2000-05-02,3130300.0
2000-05-03,-9500400.0
2000-05-04,-3536800.0
2000-05-05,4325600.0
2000-05-08,-738500.0
2000-05-09,-6358800.0
2000-05-10,-16652700.0
2000-05-11,-9561600.0
2000-05-12,-3600800.0
2000-05-15,840500.0
2000-05-16,9032700.0
2000-05-17,3125500.0
2000-05-18,-1200100.0
2000-05-19,-7718500.0
2000-05-22,-18557900.0
2000-05-23,-26537100.0
2000-05-24,-15455600.0
2000-05-25,-23734500.0
2000-05-26,-18920500.0
2000-05-30,-13557800.0
2000-05-31,-7501300.0
2000-06-01,1460300.0
2000-06-02,10422500.0
2000-06-05,3424400.0
2000-06-06,-1434500.0
2000-06-07,3485000.0
2000-06-08,-2238100.0
2000-06-09,-5323400.0
2000-06-12,-9002300.0
2000-06-13,-2443600.0
2000-06-14,3976900.0
2000-06-15,9858100.0
2000-06-16,4290200.0
2000-06-19,9397100.0
2000-06-20,2917100.0
2000-06-21,-197900.0
2000-06-22,-7688400.0
2000-06-23,-12551700.0
2000-06-26,-7350400.0
2000-06-27,-11509900.0
2000-06-28,-6162200.0
2000-06-29,-12507900.0
2000-06-30,-5087700.0
2000-07-03,-3651100.0
2000-07-05,-6399300.0
2000-07-06,-436100.0
2000-07-07,2598700.0
2000-07-10,-217400.0
2000-07-11,5214200.0
2000-07-12,11097200.0
2000-07-13,16453200.0
2000-07-14,21795100.0
2000-07-17,17586800.0
2000-07-18,13324700.0
2000-07-19,4817900.0
2000-07-20,9356800.0
2000-07-21,3699900.0
2000-07-24,-1928600.0
2000-07-25,2828500.0
2000-07-26,-9234000.0
2000-07-27,-16886600.0
2000-07-28,-23116100.0
2000-07-31,-17850600.0
2000-08-01,-13904000.0
2000-08-02,-6464200.0
2000-08-03,-1857100.0
2000-08-04,1829500.0
2000-08-07,5989300.0
2000-08-08,9648000.0
2000-08-09,4264200.0
2000-08-10,70800.0
2000-08-11,5160200.0
2000-08-14,8126900.0
2000-08-15,2562300.0
2000-08-16,-2629300.0
2000-08-17,3022900.0
2000-08-18,-1603500.0
2000-08-21,777100.0
2000-08-22,-2298200.0
2000-08-23,3185000.0
2000-08-24,7714000.0
2000-08-25,4891800.0
2000-08-28,10410500.0
2000-08-29,13972400.0
2000-08-30,10007600.0
2000-08-31,14870700.0
2000-09-01,18061900.0
2000-09-05,14591100.0
2000-09-06,10268900.0
2000-09-07,14534400.0
2000-09-08,11016200.0
2000-09-11,7078700.0
2000-09-12,2309600.0
2000-09-13,10001200.0
2000-09-14,13398300.0
2000-09-15,9312600.0
2000-09-18,4203300.0
2000-09-19,10791500.0
2000-09-20,4283400.0
2000-09-21,-1688900.0
2000-09-22,6102400.0
2000-09-25,-3623900.0
2000-09-26,-8926300.0
2000-09-27,-1740100.0
2000-09-28,5296300.0
2000-09-29,-4037300.0
2000-10-02,1480500.0
2000-10-03,-7866700.0
2000-10-04,-1717800.0
2000-10-05,2849100.0
2000-10-06,-7165800.0
2000-10-09,-11673800.0
2000-10-10,-17778500.0
2000-10-11,-28124500.0
2000-10-12,-40461400.0
2000-10-13,-28682600.0
2000-10-16,-23023600.0
2000-10-17,-30855300.0
2000-10-18,-41752600.0
2000-10-19,-32985300.0
2000-10-20,-25611800.0
2000-10-23,-20321800.0
2000-10-24,-26072500.0
2000-10-25,-35210100.0
2000-10-26,-25864300.0
2000-10-27,-16101400.0
2000-10-30,-5947300.0
2000-10-31,1805100.0
2000-11-01,-4948500.0
2000-11-02,6446600.0
2000-11-03,11633700.0
2000-11-06,15676200.0
2000-11-07,10444900.0
2000-11-08,4321600.0
2000-11-09,-6313700.0
2000-11-10,-14883200.0
2000-11-13,-32168500.0
2000-11-14,-24499600.0
2000-11-15,-15661900.0
2000-11-16,-22346000.0
2000-11-17,-28897100.0
2000-11-20,-34355600.0
2000-11-21,-26671300.0
2000-11-22,-32408200.0
2000-11-24,-28996600.0
2000-11-27,-23004600.0
2000-11-28,-28340700.0
2000-11-29,-35254800.0
2000-11-30,-46456400.0
2000-12-01,-54043600.0
2000-12-04,-47047000.0
2000-12-05,-38163600.0
2000-12-06,-51051600.0
2000-12-07,-57580700.0
2000-12-08,-47304400.0
2000-12-11,-40898800.0
2000-12-12,-45921700.0
2000-12-13,-51992200.0
2000-12-14,-59670600.0
2000-12-15,-68735900.0
2000-12-18,-61500500.0
2000-12-19,-71117100.0
2000-12-20,-81111400.0
2000-12-21,-66779900.0
2000-12-22,-56597000.0
2000-12-26,-51931700.0
2000-12-27,-47077600.0
2000-12-28,-38718900.0
2000-12-29,-47493500.0
2001-01-02,-56231000.0
2001-01-03,-36799400.0
2001-01-04,-46018400.0
2001-01-05,-58929800.0
2001-01-08,-52304500.0
2001-01-09,-58006900.0
2001-01-10,-49260800.0
2001-01-11,-42015700.0
2001-01-12,-49259700.0
2001-01-16,-40717500.0
2001-01-17,-32866100.0
2001-01-18,-24759100.0
2001-01-19,-32541600.0
2001-01-22,-25490700.0
2001-01-23,-17027600.0
2001-01-24,-10827700.0
2001-01-25,-21646000.0
2001-01-26,-28782800.0
2001-01-29,-22076900.0
2001-01-30,-15007800.0
2001-01-31,-24714700.0
2001-02-01,-16475600.0
2001-02-02,-24752200.0
2001-02-05,-20399300.0
2001-02-06,-27506000.0
2001-02-07,-33254700.0
2001-02-08,-39198000.0
2001-02-09,-49111000.0
2001-02-12,-43306600.0
2001-02-13,-49894200.0
2001-02-14,-58294300.0
2001-02-15,-52364500.0
2001-02-16,-58799400.0
2001-02-20,-64559400.0
2001-02-21,-75470200.0
2001-02-22,-54188600.0
2001-02-23,-74361600.0
2001-02-26,-62857900.0
2001-02-27,-74272900.0
2001-02-28,-89098700.0
2001-03-01,-74426700.0
2001-03-02,-86991000.0
2001-03-05,-81697800.0
2001-03-06,-74780800.0
2001-03-07,-68409100.0
2001-03-08,-62354100.0
2001-03-09,-72374400.0
2001-03-12,-86347300.0
2001-03-13,-73459300.0
2001-03-14,-93342700.0
2001-03-15,-82972400.0
2001-03-16,-141487000.0
2001-03-19,-131419200.0
2001-03-20,-146503100.0
2001-03-21,-165507700.0
2001-03-22,-194132500.0
2001-03-23,-181270800.0
2001-03-26,-171327000.0
2001-03-27,-158446300.0
2001-03-28,-169399600.0
2001-03-29,-157339300.0
2001-03-30,-148155700.0
2001-04-02,-158716700.0
2001-04-03,-171552700.0
2001-04-04,-156668400.0
2001-04-05,-135145600.0
2001-04-06,-150083400.0
2001-04-09,-141049100.0
2001-04-10,-123175500.0
2001-04-11,-110453200.0
2001-04-12,-101220000.0
2001-04-16,-108570000.0
2001-04-17,-97645300.0
2001-04-18,-65163700.0
2001-04-19,-51353800.0
2001-04-20,-58980500.0
2001-04-23,-67432300.0
2001-04-24,-77477000.0
2001-04-25,-69228000.0
2001-04-26,-58637600.0
2001-04-27,-50698900.0
2001-04-30,-39932000.0
2001-05-01,-29354000.0
2001-05-02,-38926900.0
2001-05-03,-48853100.0
2001-05-04,-36707800.0
2001-05-07,-43893000.0
2001-05-08,-50845600.0
2001-05-09,-60353000.0
2001-05-10,-53480600.0
2001-05-11,-61215000.0
2001-05-14,-53301000.0
2001-05-15,-43518800.0
2001-05-16,-28609800.0
2001-05-17,-16785200.0
2001-05-18,-10102100.0
2001-05-21,1429400.0
2001-05-22,-6913300.0
2001-05-23,-19244100.0
2001-05-24,-11341300.0
2001-05-25,-18766300.0
2001-05-29,-27770200.0
2001-05-30,-37812000.0
2001-05-31,-27937800.0
2001-06-01,-19089500.0
2001-06-04,-13466000.0
2001-06-05,-4350600.0
2001-06-06,-16415500.0
2001-06-07,-9060200.0
2001-06-08,-17230800.0
2001-06-11,-24243000.0
2001-06-12,-33607400.0
2001-06-13,-41236800.0
2001-06-14,-53839800.0
2001-06-15,-37018700.0
2001-06-18,-48387000.0
2001-06-19,-40654700.0
2001-06-20,-31867500.0
2001-06-21,-19608400.0
2001-06-22,-31820400.0
2001-06-25,-40227200.0
2001-06-26,-48233000.0
2001-06-27,-58338100.0
2001-06-28,-48068800.0
2001-06-29,-38244600.0
2001-07-02,-29722400.0
2001-07-03,-33025500.0
2001-07-05,-38543400.0
2001-07-06,-50209300.0
2001-07-09,-41870000.0
2001-07-10,-50500700.0
2001-07-11,-35172100.0
2001-07-12,-23169300.0
2001-07-13,-12735500.0
2001-07-16,-19650800.0
2001-07-17,-12181000.0
2001-07-18,-19890300.0
2001-07-19,-9807400.0
2001-07-20,-16513200.0
2001-07-23,-24578400.0
2001-07-24,-36847400.0
2001-07-25,-24758900.0
2001-07-26,-11860700.0
2001-07-27,-3381900.0
2001-07-30,5165800.0
2001-07-31,17083900.0
2001-08-01,29024700.0
2001-08-02,40094800.0
2001-08-03,29278500.0
2001-08-06,20728400.0
2001-08-07,29593500.0
2001-08-08,14409700.0
2001-08-09,28528200.0
2001-08-10,39701500.0
2001-08-13,47133100.0
2001-08-14,33955000.0
2001-08-15,25434400.0
2001-08-16,36169100.0
2001-08-17,24564500.0
2001-08-20,34981900.0
2001-08-21,20501100.0
2001-08-22,32253400.0
2001-08-23,23509300.0
2001-08-24,35197000.0
2001-08-27,27771900.0
2001-08-28,15725300.0
