,date,value
0,2025-03-01,4.2
1,2025-02-01,4.1
2,2025-01-01,4.0
3,2024-12-01,4.1
4,2024-11-01,4.2
5,2024-10-01,4.1
6,2024-09-01,4.1
7,2024-08-01,4.2
8,2024-07-01,4.2
9,2024-06-01,4.1
10,2024-05-01,4.0
11,2024-04-01,3.9
12,2024-03-01,3.9
13,2024-02-01,3.9
14,2024-01-01,3.7
15,2023-12-01,3.8
16,2023-11-01,3.7
17,2023-10-01,3.9
18,2023-09-01,3.8
19,2023-08-01,3.7
20,2023-07-01,3.5
21,2023-06-01,3.6
22,2023-05-01,3.6
23,2023-04-01,3.4
24,2023-03-01,3.5
25,2023-02-01,3.6
26,2023-01-01,3.5
27,2022-12-01,3.5
28,2022-11-01,3.6
29,2022-10-01,3.6
30,2022-09-01,3.5
31,2022-08-01,3.6
32,2022-07-01,3.5
33,2022-06-01,3.6
34,2022-05-01,3.6
35,2022-04-01,3.7
36,2022-03-01,3.7
37,2022-02-01,3.8
38,2022-01-01,4.0
39,2021-12-01,3.9
40,2021-11-01,4.2
41,2021-10-01,4.5
42,2021-09-01,4.7
43,2021-08-01,5.1
44,2021-07-01,5.4
45,2021-06-01,5.9
46,2021-05-01,5.8
47,2021-04-01,6.1
48,2021-03-01,6.1
49,2021-02-01,6.2
50,2021-01-01,6.4
51,2020-12-01,6.7
52,2020-11-01,6.7
53,2020-10-01,6.9
54,2020-09-01,7.8
55,2020-08-01,8.4
56,2020-07-01,10.2
57,2020-06-01,11.0
58,2020-05-01,13.2
59,2020-04-01,14.8
60,2020-03-01,4.4
61,2020-02-01,3.5
62,2020-01-01,3.6
63,2019-12-01,3.6
64,2019-11-01,3.6
65,2019-10-01,3.6
66,2019-09-01,3.5
67,2019-08-01,3.6
68,2019-07-01,3.7
69,2019-06-01,3.6
70,2019-05-01,3.6
71,2019-04-01,3.7
72,2019-03-01,3.8
73,2019-02-01,3.8
74,2019-01-01,4.0
75,2018-12-01,3.9
76,2018-11-01,3.8
77,2018-10-01,3.8
78,2018-09-01,3.7
79,2018-08-01,3.8
80,2018-07-01,3.8
81,2018-06-01,4.0
82,2018-05-01,3.8
83,2018-04-01,4.0
84,2018-03-01,4.0
85,2018-02-01,4.1
86,2018-01-01,4.0
87,2017-12-01,4.1
88,2017-11-01,4.2
89,2017-10-01,4.2
90,2017-09-01,4.3
91,2017-08-01,4.4
92,2017-07-01,4.3
93,2017-06-01,4.3
94,2017-05-01,4.4
95,2017-04-01,4.4
96,2017-03-01,4.4
97,2017-02-01,4.6
98,2017-01-01,4.7
99,2016-12-01,4.7
100,2016-11-01,4.7
101,2016-10-01,4.9
102,2016-09-01,5.0
103,2016-08-01,4.9
104,2016-07-01,4.8
105,2016-06-01,4.9
106,2016-05-01,4.8
107,2016-04-01,5.1
108,2016-03-01,5.0
109,2016-02-01,4.9
110,2016-01-01,4.8
111,2015-12-01,5.0
112,2015-11-01,5.1
113,2015-10-01,5.0
114,2015-09-01,5.0
115,2015-08-01,5.1
116,2015-07-01,5.2
117,2015-06-01,5.3
118,2015-05-01,5.6
119,2015-04-01,5.4
120,2015-03-01,5.4
121,2015-02-01,5.5
122,2015-01-01,5.7
123,2014-12-01,5.6
124,2014-11-01,5.8
125,2014-10-01,5.7
126,2014-09-01,5.9
127,2014-08-01,6.1
128,2014-07-01,6.2
129,2014-06-01,6.1
130,2014-05-01,6.3
131,2014-04-01,6.2
132,2014-03-01,6.7
133,2014-02-01,6.7
134,2014-01-01,6.6
135,2013-12-01,6.7
136,2013-11-01,6.9
137,2013-10-01,7.2
138,2013-09-01,7.2
139,2013-08-01,7.2
140,2013-07-01,7.3
141,2013-06-01,7.5
142,2013-05-01,7.5
143,2013-04-01,7.6
144,2013-03-01,7.5
145,2013-02-01,7.7
146,2013-01-01,8.0
147,2012-12-01,7.9
148,2012-11-01,7.7
149,2012-10-01,7.8
150,2012-09-01,7.8
151,2012-08-01,8.1
152,2012-07-01,8.2
153,2012-06-01,8.2
154,2012-05-01,8.2
155,2012-04-01,8.2
156,2012-03-01,8.2
157,2012-02-01,8.3
158,2012-01-01,8.3
159,2011-12-01,8.5
160,2011-11-01,8.6
161,2011-10-01,8.8
162,2011-09-01,9.0
163,2011-08-01,9.0
164,2011-07-01,9.0
165,2011-06-01,9.1
166,2011-05-01,9.0
167,2011-04-01,9.1
168,2011-03-01,9.0
169,2011-02-01,9.0
170,2011-01-01,9.1
171,2010-12-01,9.3
172,2010-11-01,9.8
173,2010-10-01,9.4
174,2010-09-01,9.5
175,2010-08-01,9.5
176,2010-07-01,9.4
177,2010-06-01,9.4
178,2010-05-01,9.6
179,2010-04-01,9.9
180,2010-03-01,9.9
181,2010-02-01,9.8
182,2010-01-01,9.8
